Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
SVM,0.8667198723064645,0.8677661121644615,0.8667198723064645,0.8666420270142797,0.7911083698272705
Logistic Regression,0.8611332801276935,0.861717779275127,0.8611332801276935,0.8612731126904951,0.40831446647644043
XGBoost,0.8579409417398244,0.8602897069643808,0.8579409417398244,0.8561889588580945,123.94743323326111
Random Forest,0.8507581803671189,0.8556897897855462,0.8507581803671189,0.8484715717979843,6.009298801422119
Naive Bayes,0.833998403830806,0.8359066729209507,0.833998403830806,0.8315462189579393,0.009849309921264648
